"ID_EXECUTION"|"INI_EXECUTION"|"END_EXECUTION"|"STATUS"|"DESCR_ERR"|"EMAIL_SENT"|"EMAIL_DATE"|"ENVIRONMENT"|"OUTPUT"|"ID_BOT"|"HOST_NAME"|"COUNT_EXEC"|"COUNTRY"|"EXTERNAL_ID"|"PROCESS_NAME"|"PROCESS_VERSION"|"FOLDER_NAME"|"CURRENT_USER"|"BOT_SOX"|"SYNCED_ULTRON"
1025407|"15/06/2026 12:07:48"|"15/06/2026 12:22:59"|1|[NULL]|"1"|"15/06/2026 12:22:59"|"3"|[NULL]|228|EC2AMAZ-9TPRIDL|8|BR|be1577a8-fcf3-4b82-bfc0-c6be3218ef76|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025405|"15/06/2026 12:06:15"|"15/06/2026 12:10:35"|1|[NULL]|"1"|"15/06/2026 12:10:35"|"3"|[NULL]|178|EC2AMAZ-NLK1TA2|0|BR||||||"0"|"1"
1025403|"15/06/2026 12:05:09"|"15/06/2026 12:06:53"|1|[NULL]|"1"|"15/06/2026 12:06:53"|"3"|[NULL]|213|EC2AMAZ-9TPRIDL|5|||||||"0"|"1"
1025398|"15/06/2026 12:03:54"|"15/06/2026 12:05:58"|1|[NULL]|"1"|"15/06/2026 12:05:58"|"3"|[NULL]|206|EC2AMAZ-NLK1TA2|49|BR|"47d57716-c9b9-4d90-9130-c4b45e8d5dec"|"206.CX.Investments.Cancelamento.CDB"|"1.0.12"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\automacao.moperacoes|"0"|"1"
1025386|"15/06/2026 12:00:28"|"15/06/2026 12:03:41"|1|[NULL]|"1"|"15/06/2026 12:03:41"|"3"|[NULL]|275|EC2AMAZ-NLK1TA2|3|BR|b454bb0a-9f3c-4981-bc22-6e63c2a0b0f8|"275.CX.Estate.Duplicate.Zendesk "|"1.0.8"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\automacao.moperacoes|"0"|"1"
1025384|"15/06/2026 12:00:16"|"15/06/2026 12:16:09"|1|[NULL]|"1"|"15/06/2026 12:16:09"|"3"|[NULL]|237|EC2AMAZ-ERHGKPJ|50|BR||||||"0"|"1"
1025382|"15/06/2026 11:53:50"|"15/06/2026 11:54:55"|1|[NULL]|"1"|"15/06/2026 11:54:55"|"3"|[NULL]|167|EC2AMAZ-9TPRIDL|1|BR|cdba5485-d88e-4995-9cc4-b6d364b47895|"167.RegSol.Reativacao.Contas-FORMS"|"1.0.17"|CoE Ops - BR/Nubank/All VMs|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025379|"15/06/2026 11:47:10"|"15/06/2026 11:48:17"|1|[NULL]|"1"|"15/06/2026 11:48:17"|"3"|[NULL]|201|EC2AMAZ-9TPRIDL|4|BR|cf5853c9-7b7c-4e5d-b5e2-17ca7d6c0465|"201.OMB.V2.Recebimento.Dos.Casos.Procon.STEP1"|"201.OMB.V2.Recebimento.Dos.Casos.Procon.STEP1"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025378|"15/06/2026 11:46:19"|"15/06/2026 11:46:38"|1|[NULL]|"1"|"15/06/2026 11:46:38"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|0|BR|ddec43f5-bc02-4098-a233-7f31fb565f5f|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025373|"15/06/2026 11:38:14"|"15/06/2026 11:38:35"|1|[NULL]|"1"|"15/06/2026 11:38:35"|"3"|[NULL]|167|EC2AMAZ-9TPRIDL|0|BR|"3e4592fc-4910-4a27-a41b-5b2c6fbdacfb"|"167.RegSol.Reativacao.Contas-FORMS"|"1.0.17"|CoE Ops - BR/Nubank/All VMs|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025367|"15/06/2026 11:31:19"|"15/06/2026 11:31:42"|1|[NULL]|"1"|"15/06/2026 11:31:42"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|0|BR|"2caccbee-4afb-412d-8864-9e027b07244c"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025366|"15/06/2026 11:31:14"|"15/06/2026 11:32:45"|6|Error ocurred: CSV does not have rows|"1"|"15/06/2026 11:32:45"|"3"|[NULL]|222|EC2AMAZ-9TPRIDL|0|||||||"0"|"1"
1025364|"15/06/2026 11:26:34"|"15/06/2026 11:45:40"|1|[NULL]|"1"|"15/06/2026 11:45:40"|"3"|[NULL]|213|EC2AMAZ-NLK1TA2|98|||||||"0"|"1"
1025360|"15/06/2026 11:23:25"|"15/06/2026 11:25:00"|1|[NULL]|"1"|"15/06/2026 11:25:00"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|4|BR|"9f5aa29d-ccf4-4392-911d-c5e802367422"|"167.RegSol.Reativacao.Contas-FORMS"|"1.0.17"|CoE Ops - BR/Nubank/All VMs|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025357|"15/06/2026 11:18:52"|"15/06/2026 12:02:52"|1|[NULL]|"1"|"15/06/2026 12:02:52"|"3"|[NULL]|238|AWS-RPAP-004|371|BR|d981a9a8-6751-4144-a0eb-b6273d3154ef|"238.OMB.Pedido.de.Avaliacao.Automatica.RA.VMNUINVEST"|"1.0.9"|CoE Ops - BR/Nuinvest/CompSol||"0"|"1"
1025354|"15/06/2026 11:16:20"|"15/06/2026 11:23:32"|1|[NULL]|"1"|"15/06/2026 11:23:32"|"3"|[NULL]|277|EC2AMAZ-NLK1TA2|12|BR|"587a4420-1a45-4833-88f0-0b24ac9aaf0a"|"277.SEC.CSI.Banks"|"1.0.11"|CoE Ops - BR/Nubank/Ops Sec|ssmwindows\automacao.moperacoes|"0"|"1"
1025353|"15/06/2026 11:16:19"|"15/06/2026 11:16:38"|1|[NULL]|"1"|"15/06/2026 11:16:38"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|0|BR|"385e55a0-82c5-4653-9996-28f914a9061a"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025349|"15/06/2026 11:15:20"|"15/06/2026 11:15:34"|1|[NULL]|"1"|"15/06/2026 11:15:34"|"3"|[NULL]|93|AWS-RPAP-006|0|BR|"9c391b4e-5e77-41af-83a9-0faf0de5f215"|"093.ROP.Analise.Erros.Sincad.Nuinvest"|"1.0.22"|CoE Ops - BR/Nuinvest/AML-CFT|DOMAIN_TITULO\automacao.moperacoes|"0"|"1"
1025347|"15/06/2026 11:13:21"|"15/06/2026 11:14:55"|1|[NULL]|"1"|"15/06/2026 11:14:55"|"3"|[NULL]|125|AWS-RPAP-006|45|BR||||||"0"|"1"
1025345|"15/06/2026 11:12:20"|"15/06/2026 11:15:29"|1|[NULL]|"1"|"15/06/2026 11:15:29"|"3"|[NULL]|95|AWS-RPAP-004|0|BR|"37bd30a5-8c97-4c52-86ba-82eef2a7aa2b"|"095.ROP.Taxa.Inatividade.B3.SINCAD"|"1.0.32"|CoE Ops - BR/Nuinvest/AML-CFT|DOMAIN_TITULO\AUTOMACAO.MOPERACOES|"0"|"1"
1025339|"15/06/2026 11:08:57"|"15/06/2026 11:09:17"|1|[NULL]|"1"|"15/06/2026 11:09:17"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|0|BR|c3a0df92-237b-4408-a638-dbb0b4653137|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025336|"15/06/2026 11:07:18"|"15/06/2026 11:13:02"|1|[NULL]|"1"|"15/06/2026 11:13:02"|"3"|[NULL]|96|AWS-RPAP-006|1|BR||||||"0"|"1"
1025333|"15/06/2026 11:05:38"|"15/06/2026 11:08:13"|1|[NULL]|"1"|"15/06/2026 11:08:13"|"3"|[NULL]|247|EC2AMAZ-ERHGKPJ|1|BR|ec5eb8cc-3ac6-4ffe-96d5-58f4f78b819a|"247.COMPSOL.Agencia.Externa"|"1.0.9"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025323|"15/06/2026 11:00:43"|"15/06/2026 11:15:43"|1|[NULL]|"1"|"15/06/2026 11:15:43"|"3"|[NULL]|228|EC2AMAZ-NLK1TA2|8|BR|"3e5b58d3-95f0-4d08-a82a-228110e2dde2"|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\automacao.moperacoes|"0"|"1"
1025316|"15/06/2026 10:45:56"|"15/06/2026 10:46:17"|1|[NULL]|"1"|"15/06/2026 10:46:17"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|0|BR|c82a8bda-24fa-456b-94e5-5e460bece995|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025309|"15/06/2026 10:33:36"|"15/06/2026 10:33:56"|1|[NULL]|"1"|"15/06/2026 10:33:56"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|0|BR|"432b949f-c566-49f1-919d-2994a94e0c4e"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025307|"15/06/2026 10:32:26"|"15/06/2026 10:33:16"|1|[NULL]|"0"||"3"|[NULL]|85|EC2AMAZ-NLK1TA2|4|BR|"7d14aaeb-8c50-4645-a703-425b0c48799d"|"085.ROP.Oficios.Monitorados"|"1.0.20"|CoE Ops - BR/Nubank/Jud Orders|ssmwindows\automacao.moperacoes|"0"|"1"
1025303|"15/06/2026 10:28:52"|"15/06/2026 11:12:14"|1|[NULL]|"1"|"15/06/2026 11:12:14"|"3"|[NULL]|160|EC2AMAZ-9TPRIDL|28|||||||"0"|"1"
1025302|"15/06/2026 10:27:30"|"15/06/2026 10:27:58"|1|[NULL]|"1"|"15/06/2026 10:27:58"|"3"|[NULL]|167|EC2AMAZ-9TPRIDL|0|BR|d4689459-4a2e-4e6c-a4f5-281fba7e9dcc|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025294|"15/06/2026 10:10:58"|"15/06/2026 10:38:50"|1|[NULL]|"1"|"15/06/2026 10:38:50"|"3"|[NULL]|228|EC2AMAZ-ERHGKPJ|0|BR|"7f659548-575d-4ce6-8361-dfb6f82e9d6b"|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025287|"15/06/2026 10:05:35"|"15/06/2026 10:10:21"|1|[NULL]|"1"|"15/06/2026 10:10:21"|"3"|[NULL]|43|EC2AMAZ-ERHGKPJ|72|BR|d3524351-3618-4379-b7a5-bf6e041f6f10|"043.ROP.Flag.PEP.Especial.Atencao.Daily"|"1.0.25"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025274|"15/06/2026 10:01:33"|"15/06/2026 10:32:06"|1|[NULL]|"1"|"15/06/2026 10:32:06"|"3"|[NULL]|121|EC2AMAZ-NLK1TA2|78|BR||||||"0"|"1"
1025270|"15/06/2026 10:00:39"|"15/06/2026 10:04:55"|1|[NULL]|"1"|"15/06/2026 10:04:55"|"3"|[NULL]|191|EC2AMAZ-ERHGKPJ|5|BR||||||"0"|"1"
1025260|"15/06/2026 09:45:56"|"15/06/2026 09:46:16"|1|[NULL]|"1"|"15/06/2026 09:46:16"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|0|BR|eb0bf1da-0e23-49b9-a81b-b2a10ca935f9|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025254|"15/06/2026 09:37:33"|"15/06/2026 09:48:51"|1|[NULL]|"1"|"15/06/2026 09:48:51"|"3"|[NULL]|280|EC2AMAZ-E582I2P|0|BR|bc6e0935-5c47-4c65-a4bd-d05d739b19bd|rpa-rdr-dossier-inv-ops-280|"1.0.4"|CoE Ops - BR/Nubank/CompSol|ssmwindows\filipe.vitorino.taki|"0"|"1"
1025249|"15/06/2026 09:31:19"|"15/06/2026 09:31:41"|1|[NULL]|"1"|"15/06/2026 09:31:41"|"3"|[NULL]|167|EC2AMAZ-ERHGKPJ|0|BR|"37129202-6668-48cb-a87d-e8d9171fd943"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025246|"15/06/2026 09:31:05"|"15/06/2026 09:35:10"|1|[NULL]|"1"|"15/06/2026 09:35:10"|"3"|[NULL]|282|EC2AMAZ-NLK1TA2|72|BR||||||"0"|"1"
1025236|"15/06/2026 09:15:56"|"15/06/2026 09:16:17"|1|[NULL]|"1"|"15/06/2026 09:16:17"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|0|BR|db23235d-5fb2-4aa6-957d-f1ee1c854eef|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025233|"15/06/2026 09:10:50"|"15/06/2026 09:11:49"|1|[NULL]|"1"|"15/06/2026 09:11:49"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|1|BR|"13225d30-cdcd-433f-9330-2db870302b77"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025226|"15/06/2026 09:03:15"|"15/06/2026 09:10:29"|1|[NULL]|"1"|"15/06/2026 09:10:29"|"3"|[NULL]|276|EC2AMAZ-NLK1TA2|0|BR|e65223eb-b5d8-417a-a6b3-4a574b1a720c|"276.CX.Estate.Blank.Zendesk.Emails"|"1.0.4"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\automacao.moperacoes|"0"|"1"
1025221|"15/06/2026 09:02:44"|"15/06/2026 09:30:20"|1|[NULL]|"1"|"15/06/2026 09:30:20"|"3"|[NULL]|228|EC2AMAZ-ERHGKPJ|0|BR|"170655b1-3be4-420e-a342-4a6fcbce796d"|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025215|"15/06/2026 09:01:24"|"15/06/2026 09:02:06"|1|[NULL]|"1"|"15/06/2026 09:02:06"|"3"|[NULL]|213|EC2AMAZ-ERHGKPJ|0|||||||"0"|"1"
1025210|"15/06/2026 09:00:29"|"15/06/2026 09:03:02"|1|[NULL]|"1"|"15/06/2026 09:03:02"|"3"|[NULL]|275|EC2AMAZ-NLK1TA2|1|BR|"54159222-27ce-4c92-a4ae-366d8f50b6de"|"275.CX.Estate.Duplicate.Zendesk "|"1.0.8"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\automacao.moperacoes|"0"|"1"
1025203|"15/06/2026 08:45:56"|"15/06/2026 08:46:17"|1|[NULL]|"1"|"15/06/2026 08:46:17"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|0|BR|"22010b9d-680c-43a4-960f-3f314acf5521"|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025196|"15/06/2026 08:32:00"|"15/06/2026 09:17:23"|1|[NULL]|"1"|"15/06/2026 09:17:23"|"3"|[NULL]|280|EC2AMAZ-E582I2P|0|BR|"69bb641e-bad6-4f72-a277-1dc126adc300"|rpa-rdr-dossier-inv-ops-280|"1.0.4"|CoE Ops - BR/Nubank/CompSol|ssmwindows\filipe.vitorino.taki|"0"|"1"
1025195|"15/06/2026 08:31:33"|"15/06/2026 08:33:20"|1|[NULL]|"1"|"15/06/2026 08:33:20"|"3"|[NULL]|154|EC2AMAZ-NLK1TA2|80|BR|ada8c16d-a7d0-4788-b85b-ba3f2537f170|"154.RegSol.Receiving.Procon.Cases"|"1.0.17"|CoE Ops - BR/Nubank/Jud Orders|ssmwindows\automacao.moperacoes|"0"|"1"
1025191|"15/06/2026 08:30:57"|"15/06/2026 08:31:18"|1|[NULL]|"1"|"15/06/2026 08:31:18"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|0|BR|d0abb537-eaf3-4af7-b87e-56c001593c7b|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025184|"15/06/2026 08:19:07"|"15/06/2026 08:23:27"|1|[NULL]|"1"|"15/06/2026 08:23:27"|"3"|[NULL]|160|EC2AMAZ-NLK1TA2|0|||||||"0"|"1"
1025183|"15/06/2026 08:17:06"|"15/06/2026 08:46:41"|1|[NULL]|"1"|"15/06/2026 08:46:41"|"3"|[NULL]|176|EC2AMAZ-ERHGKPJ|88|BR|"08634c09-1f04-42fb-b29a-b8bd01227729"|"176.CXC.Envio.Registros.Atendimentos"|"1.0.22"|CoE Ops - BR/Nubank/Ops PF||"0"|"1"
1025182|"15/06/2026 08:16:57"|"15/06/2026 08:18:54"|1|[NULL]|"1"|"15/06/2026 08:18:54"|"3"|[NULL]|167|EC2AMAZ-NLK1TA2|5|BR|ef6b75cd-e213-4a20-8223-04e0017ec462|"167.RegSol.Reativacao.Contas.JIRA"|"1.0.17"|CoE Ops - BR/Nubank/AML-CFT|ssmwindows\automacao.moperacoes|"0"|"1"
1025165|"15/06/2026 08:03:29"|"15/06/2026 08:04:48"|1|[NULL]|"1"|"15/06/2026 08:04:48"|"3"|[NULL]|240|EC2AMAZ-EEDQ776|0|BR||||||"0"|"1"
1025159|"15/06/2026 08:02:14"|"15/06/2026 08:16:35"|1|[NULL]|"1"|"15/06/2026 08:16:35"|"3"|[NULL]|228|EC2AMAZ-NLK1TA2|9|BR|"6677681e-24e5-4c90-b1ef-98ad89dc5e8f"|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\automacao.moperacoes|"0"|"1"
1025154|"15/06/2026 08:00:57"|"15/06/2026 08:16:28"|1|[NULL]|"1"|"15/06/2026 08:16:28"|"3"|[NULL]|61|EC2AMAZ-ERHGKPJ|0|BR|"0270bec5-adb0-4513-865b-3a38eefdf597"| 061.ROP.Insumos.Quebra.Sigilo.v2.Nubank|"1.0.13"|CoE Ops - BR/Nubank/Jud Orders|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025130|"15/06/2026 07:30:21"|"15/06/2026 07:31:09"|1|[NULL]|"1"|"15/06/2026 07:31:09"|"3"|[NULL]|259|EC2AMAZ-NLK1TA2|0|BR|"8df25726-69b4-496b-809b-0d1a12c48900"|"259.JUD.Quality.Broker.Automation"|"1.0.6"|CoE Ops - BR/Nubank/Jud Orders|ssmwindows\automacao.moperacoes|"0"|"1"
1025113|"15/06/2026 07:01:27"|"15/06/2026 07:15:02"|1|[NULL]|"1"|"15/06/2026 07:15:02"|"3"|[NULL]|228|EC2AMAZ-EEDQ776|9|BR|"1fdf3eae-0af0-4c3f-8e30-7c466ed010a5"|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025093|"15/06/2026 06:03:15"|"15/06/2026 06:09:59"|1|[NULL]|"1"|"15/06/2026 06:09:59"|"3"|[NULL]|276|EC2AMAZ-NLK1TA2|0|BR|b741355a-55df-4cdd-95c7-e3cf544088bc|"276.CX.Estate.Blank.Zendesk.Emails"|"1.0.4"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\automacao.moperacoes|"0"|"1"
1025092|"15/06/2026 06:02:16"|"15/06/2026 06:17:51"|1|[NULL]|"1"|"15/06/2026 06:17:51"|"3"|[NULL]|228|EC2AMAZ-EEDQ776|9|BR|f43fc154-cf63-4e78-bd72-f108015335c8|"228.OMB.Painel.Ouvidoria.Grafana"|"1.0.12"|CoE Ops - BR/Nubank/CompSol|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025084|"15/06/2026 06:00:50"|"15/06/2026 06:03:13"|1|[NULL]|"1"|"15/06/2026 06:03:13"|"3"|[NULL]|275|EC2AMAZ-ERHGKPJ|0|BR|"15a245b0-67fc-4266-867b-c25413c5d97a"|"275.CX.Estate.Duplicate.Zendesk "|"1.0.8"|CoE Ops - BR/Nubank/Ops PF|ssmwindows\AUTOMACAO.MOPERACOES|"0"|"1"
1025083|"15/06/2026 06:00:19"|"15/06/2026 06:01:19"|1|[NULL]|"1"|"15/06/2026 06:01:19"|"3"|[NULL]|205|EC2AMAZ-NLK1TA2|0|||||||"0"|"1"
1025076|"15/06/2026 05:06:39"|"15/06/2026 11:10:51"|1|[NULL]|"1"|"15/06/2026 11:10:51"|"3"|[NULL]|130|AWS-RPAP-004|7|BR|ac7606b6-1769-4e8b-af28-ab4bdb4777f1|"130.CX.Relatorios.Notas.VIRTUAL.SPB"|"1.1.2"|CoE Ops - BR/Nuinvest/Ops PF|DOMAIN_TITULO\AUTOMACAO.MOPERACOES|"0"|"1"
1025071|"15/06/2026 05:01:18"|"15/06/2026 11:06:40"|1|[NULL]|"1"|"15/06/2026 11:06:40"|"3"|[NULL]|157|AWS-RPAP-006|168|BR|c62a9746-6062-4fca-b7bb-49006e32aa2f|"157.LGL.Payments.Receipt"|"1.0.29"|CoE Ops - BR/Nuinvest/Legal|DOMAIN_TITULO\automacao.moperacoes|"0"|"1"
1025067|"15/06/2026 05:00:30"|"15/06/2026 05:00:58"|1|[NULL]|"1"|"15/06/2026 05:00:58"|"3"|[NULL]|182|AWS-RPAP-006|2|BR|d998a84a-8b24-44ee-9947-38641a64158f|"182.OMB.Blank.Emails.Zendesk.VMNUINVEST"|"1.0.6"|CoE Ops - BR/Nuinvest/CompSol||"0"|"1"
1025063|"15/06/2026 04:31:11"|"15/06/2026 04:31:34"|1|[NULL]|"1"|"15/06/2026 04:31:34"|"3"|[NULL]|153|AWS-RPAP-006|9|BR|a5e31df3-9ede-4941-815b-ec9c85e46820|"153.CX.Roteamento.Emails.Zendesk.VMNUINVEST"|"1.0.7"|CoE Ops - BR/Nuinvest/Ops PF||"0"|"1"
